name,price,size,color,rpm,airflow,noise_level,pwm
ARCTIC F12 TC,14.99,120,White / Black,1350,53,,FALSE
ARCTIC F9 Pro,,120,White / Black,1500,57,,TRUE
ARCTIC P12,8.99,120,Black,"2,001,800",56.3,,TRUE
ARCTIC P12,8.49,120,Black,1800,56.3,,FALSE
ARCTIC P12,9.47,120,Black / Transparent,"2,001,800",56.3,22.5,TRUE
ARCTIC P12,12.46,120,White,"2,001,800",56.3,22.5,TRUE
ARCTIC P12,10.99,120,Black / Transparent,"2,001,800",56.3,22.5,TRUE
ARCTIC P12,11.34,120,White / Translucent White,"2,001,800",56.3,22.5,TRUE
ARCTIC P12 5-Pack,23.99,120,Black,1800,56.3,,FALSE
ARCTIC P12 Max,9.99,120,Black,"2,003,300",81.04,,TRUE
ARCTIC P12 Max,14.49,120,White,"2,003,300",81.04,,TRUE
ARCTIC P12 Max 5-Pack,35.99,120,Black,"2,003,300",81.04,,TRUE
ARCTIC P12 PST,10.34,120,White,"2,001,800",56.3,,TRUE
ARCTIC P12 PST,14.99,120,Black / Translucent Black,"2,001,800",56.3,,TRUE
ARCTIC P12 PST,14.99,120,White / Transparent,"2,001,800",56.3,,TRUE
ARCTIC P12 PST 5-Pack,34.99,120,Black,"2,001,800",56.3,22.5,TRUE
ARCTIC P12 PST A-RGB 0dB,16.98,120,Black,,48.8,,TRUE
ARCTIC P12 PST A-RGB 0dB 3-Pack,42.99,120,Black,,48.8,,TRUE
ARCTIC P12 PST CO,11.47,120,Black,"2,001,800",56.3,,TRUE
ARCTIC P12 PST RGB 0dB,14.99,120,Black,,48.8,,TRUE
ARCTIC P12 PWM PST A-RGB 0dB,,120,White / Gray,,48.8,,TRUE
ARCTIC P12 PWM PST A-RGB 0dB 3-Pack,,120,White / Gray,,48.8,,TRUE
ARCTIC P12 Silent,8.1,120,Black,1050,24.1,,FALSE
ARCTIC P12 Slim PWM PST,8.99,120,Black,"3,002,100",41.1,22.5,TRUE
ARCTIC P12 Slim PWM PST 3-Pack,22.36,120,Black,"3,002,100",42.1,22.5,TRUE
Asiahorse FS-N001 3-Pack,,120,White,"8,001,500",,,TRUE
Asus ROG STRIX XF,24.98,120,Black,1800,62.5,22.5,TRUE
Asus TUF Gaming TF120 ARGB,18.98,120,Black / White,"2,501,900",76,29,TRUE
Asus TUF Gaming TF120 ARGB 3-Pack,49.99,120,Black / White,"2,501,900",76,29,TRUE
Asus TUF GAMING TF120 ARGB White,15.99,120,White,"2,501,900",76,29,TRUE
Asus TUF GAMING TF120 ARGB White 3in1 3-Pack,49.99,120,White,"2,501,900",76,29,TRUE
Athena Power FANC-12025S,,120,Black,1500,54,30,FALSE
Azza Hurricane,,120,Black,1500,47,28.7,FALSE
